Close,High,Low,Open,Volume,return,cpi_release,cpi_surprise,vol_5d,vol_20d,vol_60d,return_lag1,return_lag5,VIX,cpi_t,cpi_tm1,cpi_tp1,vol_spike
2051.31005859375,2074.280029296875,2049.72998046875,2049.72998046875,3446810000,0.0022596476448199895,0,0.0,0.008759787465417378,0.007748827116023494,0.006821834879090075,-0.016792964912141516,0.006912096434637041,19.97,0,0.0,0.0,1
2076.6201171875,2081.31005859375,2052.739990234375,2052.739990234375,3065070000,0.012262986385007718,0,0.0,0.011059101792625122,0.008303332115124955,0.006979360622804271,0.0022596476448199895,-0.00030807018954653404,16.83,0,0.0,1.0,1
2099.60009765625,2100.669921875,2080.030029296875,2080.030029296875,3096730000,0.011005268507355188,1,0.04611430128589333,0.011742741356510687,0.0085634993245543,0.007128134692317741,0.012262986385007718,-0.003869232698897424,13.9,1,0.0,0.0,1
2108.949951171875,2111.97998046875,2098.179931640625,2099.719970703125,3002120000,0.00444327323650017,0,0.0,0.011657787920194954,0.008538200749556852,0.006993126418060181,0.011005268507355188,0.006062560593868743,13.37,0,1.0,0.0,1
2107.39990234375,2114.139892578125,2102.489990234375,2109.010009765625,3261810000,-0.0007352563007372865,0,0.0,0.005611110827475865,0.00845703493317671,0.006893995184534172,0.00444327323650017,-0.016792964912141516,13.23,0,0.0,0.0,1
2124.2900390625,2124.419921875,2110.550048828125,2110.550048828125,3227080000,0.007982733444475738,0,0.0,0.005269669633749259,0.008625979693532113,0.00696612750938217,-0.0007352563007372865,0.0022596476448199895,12.11,0,0.0,0.0,1
2126.639892578125,2128.909912109375,2119.8798828125,2126.800048828125,3362750000,0.00110557162445071,0,0.0,0.004822924255124917,0.008347438655152872,0.006937969340233568,0.007982733444475738,0.012262986385007718,11.95,0,0.0,0.0,1
2128.280029296875,2132.820068359375,2123.659912109375,2126.85009765625,3245870000,0.0007709366240016023,0,0.0,0.003500351506741284,0.008248861945988124,0.006932437030909043,0.00110557162445071,0.011005268507355188,12.25,0,0.0,0.0,1
2119.2099609375,2128.489990234375,2115.39990234375,2127.550048828125,3343690000,-0.004270796242723094,0,0.0,0.004461229609958967,0.008200531416676251,0.006949579929877415,0.0007709366240016023,0.00444327323650017,12.22,0,0.0,0.0,1
2114.14990234375,2118.510009765625,2110.0,2118.2099609375,3694070000,-0.00239056502019028,0,0.0,0.004675732000292841,0.008214425868853839,0.006935419243683418,-0.004270796242723094,-0.0007352563007372865,12.12,0,0.0,0.0,1
2102.14990234375,2116.8701171875,2098.6298828125,2114.159912109375,3772810000,-0.0056922102113794535,0,0.0,0.0030090953740498716,0.00814554179950325,0.006964999971409269,-0.00239056502019028,0.007982733444475738,12.64,0,0.0,0.0,1
2079.64990234375,2106.010009765625,2077.090087890625,2102.239990234375,3870040000,-0.010761020696661188,0,0.0,0.004269129882809076,0.00846718863308359,0.007085077545223988,-0.0056922102113794535,0.00110557162445071,13.74,0,0.0,0.0,1
2067.639892578125,2078.18994140625,2063.52001953125,2078.18994140625,3836750000,-0.005791755065064178,0,0.0,0.003105815907896164,0.008547858769557121,0.00700264095833356,-0.010761020696661188,0.0007709366240016023,15.6,0,0.0,0.0,1
